date,n_stars,package
2015-11-20,2,tidyverse/broom
2015-11-26,2,tidyverse/broom
2015-12-01,3,tidyverse/broom
2015-12-03,1,tidyverse/broom
2015-12-09,1,tidyverse/broom
2015-12-15,1,tidyverse/broom
2015-12-16,1,tidyverse/broom
2015-12-30,1,tidyverse/broom
2016-01-06,2,tidyverse/broom
2016-01-11,1,tidyverse/broom
2016-01-14,1,tidyverse/broom
2016-01-19,1,tidyverse/broom
2016-01-26,1,tidyverse/broom
2016-01-29,1,tidyverse/broom
2016-01-31,1,tidyverse/broom
2016-02-01,3,tidyverse/broom
2016-02-05,1,tidyverse/broom
2016-02-09,1,tidyverse/broom
2016-02-13,1,tidyverse/broom
2016-02-15,1,tidyverse/broom
2016-02-17,1,tidyverse/broom
2016-02-18,1,tidyverse/broom
2016-02-20,1,tidyverse/broom
2016-02-23,1,tidyverse/broom
2016-02-28,1,tidyverse/broom
2016-02-29,1,tidyverse/broom
2016-03-01,1,tidyverse/broom
2016-03-04,1,tidyverse/broom
2016-03-07,2,tidyverse/broom
2016-03-14,1,tidyverse/broom
2016-03-15,1,tidyverse/broom
2016-03-16,1,tidyverse/broom
2016-03-19,1,tidyverse/broom
2016-03-21,3,tidyverse/broom
2016-03-25,1,tidyverse/broom
2016-03-29,2,tidyverse/broom
2016-03-30,5,tidyverse/broom
2016-03-31,4,tidyverse/broom
2016-04-02,1,tidyverse/broom
2016-04-04,1,tidyverse/broom
2016-04-05,2,tidyverse/broom
2016-04-07,3,tidyverse/broom
2016-04-08,2,tidyverse/broom
2016-04-09,1,tidyverse/broom
2016-04-11,2,tidyverse/broom
2016-04-12,1,tidyverse/broom
2016-04-16,1,tidyverse/broom
2016-04-19,1,tidyverse/broom
2016-04-22,1,tidyverse/broom
2016-04-24,1,tidyverse/broom
2016-04-25,2,tidyverse/broom
2016-04-26,1,tidyverse/broom
2016-04-28,1,tidyverse/broom
2016-04-30,1,tidyverse/broom
2016-05-01,1,tidyverse/broom
2016-05-02,1,tidyverse/broom
2016-05-06,1,tidyverse/broom
2016-05-10,1,tidyverse/broom
2016-05-15,1,tidyverse/broom
2016-05-17,1,tidyverse/broom
2016-05-18,1,tidyverse/broom
2016-05-23,1,tidyverse/broom
2016-05-24,2,tidyverse/broom
2016-05-25,2,tidyverse/broom
2016-05-27,2,tidyverse/broom
2016-05-28,2,tidyverse/broom
2016-06-03,1,tidyverse/broom
2016-06-07,1,tidyverse/broom
2016-06-10,1,tidyverse/broom
2016-06-11,1,tidyverse/broom
2016-06-14,1,tidyverse/broom
2016-06-15,1,tidyverse/broom
2016-06-17,1,tidyverse/broom
2016-06-21,1,tidyverse/broom
2016-06-22,3,tidyverse/broom
2016-06-23,1,tidyverse/broom
2016-06-25,1,tidyverse/broom
2016-06-28,4,tidyverse/broom
2016-06-29,10,tidyverse/broom
2016-06-30,1,tidyverse/broom
2016-07-01,5,tidyverse/broom
2016-07-02,1,tidyverse/broom
2016-07-05,1,tidyverse/broom
2016-07-06,1,tidyverse/broom
2016-07-07,1,tidyverse/broom
2016-07-08,1,tidyverse/broom
2016-07-13,3,tidyverse/broom
2016-07-16,2,tidyverse/broom
2016-07-18,1,tidyverse/broom
2016-07-21,1,tidyverse/broom
2016-07-28,1,tidyverse/broom
2016-07-31,1,tidyverse/broom
2016-08-01,2,tidyverse/broom
2016-08-03,1,tidyverse/broom
2016-08-08,1,tidyverse/broom
2016-08-09,1,tidyverse/broom
2016-08-10,3,tidyverse/broom
2016-08-11,2,tidyverse/broom
2016-08-12,1,tidyverse/broom
2016-08-15,1,tidyverse/broom
2016-08-16,2,tidyverse/broom
2016-08-17,1,tidyverse/broom
2016-08-18,2,tidyverse/broom
2016-08-19,3,tidyverse/broom
2016-08-22,1,tidyverse/broom
2016-08-24,3,tidyverse/broom
2016-08-25,2,tidyverse/broom
2016-08-31,1,tidyverse/broom
2016-09-02,1,tidyverse/broom
2016-09-05,1,tidyverse/broom
2016-09-06,1,tidyverse/broom
2016-09-09,1,tidyverse/broom
2016-09-10,1,tidyverse/broom
2016-09-11,1,tidyverse/broom
2016-09-12,1,tidyverse/broom
2016-09-14,1,tidyverse/broom
2016-09-16,1,tidyverse/broom
2016-09-21,2,tidyverse/broom
2016-09-22,1,tidyverse/broom
2016-09-23,2,tidyverse/broom
2016-09-24,1,tidyverse/broom
2016-09-26,1,tidyverse/broom
2016-09-29,1,tidyverse/broom
2016-09-30,2,tidyverse/broom
2016-10-01,3,tidyverse/broom
2016-10-03,1,tidyverse/broom
2016-10-05,1,tidyverse/broom
2016-10-08,1,tidyverse/broom
2016-10-09,1,tidyverse/broom
2016-10-10,1,tidyverse/broom
2016-10-12,1,tidyverse/broom
2016-10-14,1,tidyverse/broom
2016-10-18,1,tidyverse/broom
2016-10-20,1,tidyverse/broom
2016-10-21,1,tidyverse/broom
2016-10-23,1,tidyverse/broom
2016-10-25,1,tidyverse/broom
2016-10-26,1,tidyverse/broom
2016-10-31,1,tidyverse/broom
2016-11-01,1,tidyverse/broom
2016-11-06,1,tidyverse/broom
2016-11-08,1,tidyverse/broom
2016-11-09,1,tidyverse/broom
2016-11-13,1,tidyverse/broom
2016-11-16,1,tidyverse/broom
2016-11-17,1,tidyverse/broom
2016-11-22,1,tidyverse/broom
2016-11-28,2,tidyverse/broom
2016-11-30,1,tidyverse/broom
2016-12-01,1,tidyverse/broom
2016-12-05,1,tidyverse/broom
2016-12-07,1,tidyverse/broom
2016-12-09,2,tidyverse/broom
2016-12-11,1,tidyverse/broom
2016-12-15,1,tidyverse/broom
2016-12-18,2,tidyverse/broom
2016-12-20,1,tidyverse/broom
2016-12-23,1,tidyverse/broom
2017-01-09,1,tidyverse/broom
2017-01-19,1,tidyverse/broom
2017-01-20,1,tidyverse/broom
2017-01-22,1,tidyverse/broom
2017-01-25,1,tidyverse/broom
2017-01-30,1,tidyverse/broom
2017-02-04,1,tidyverse/broom
2017-02-08,1,tidyverse/broom
2017-02-09,1,tidyverse/broom
2017-02-10,2,tidyverse/broom
2017-02-15,1,tidyverse/broom
2012-10-28,13,hadley/dplyr
2013-04-22,1,hadley/dplyr
2013-04-23,1,hadley/dplyr
2013-05-07,1,hadley/dplyr
2013-05-09,1,hadley/dplyr
2013-05-11,2,hadley/dplyr
2013-05-16,1,hadley/dplyr
2013-06-13,1,hadley/dplyr
2013-06-26,1,hadley/dplyr
2013-06-27,1,hadley/dplyr
2013-07-10,1,hadley/dplyr
2013-07-11,4,hadley/dplyr
2013-07-12,2,hadley/dplyr
2013-07-13,1,hadley/dplyr
2013-07-14,3,hadley/dplyr
2013-07-15,1,hadley/dplyr
2013-07-16,2,hadley/dplyr
2013-07-17,3,hadley/dplyr
2013-07-18,1,hadley/dplyr
2013-07-19,1,hadley/dplyr
2013-07-31,1,hadley/dplyr
2013-08-05,2,hadley/dplyr
2013-08-06,1,hadley/dplyr
2013-08-10,1,hadley/dplyr
2013-08-13,1,hadley/dplyr
2013-08-14,1,hadley/dplyr
2013-08-15,2,hadley/dplyr
2013-08-17,1,hadley/dplyr
2013-08-25,1,hadley/dplyr
2013-09-04,1,hadley/dplyr
2013-09-16,1,hadley/dplyr
2013-09-17,1,hadley/dplyr
2013-09-24,5,hadley/dplyr
2013-09-25,1,hadley/dplyr
2013-09-27,1,hadley/dplyr
2013-09-29,2,hadley/dplyr
2013-10-01,2,hadley/dplyr
2013-10-03,1,hadley/dplyr
2013-10-05,1,hadley/dplyr
2013-10-06,2,hadley/dplyr
2013-10-09,1,hadley/dplyr
2013-10-11,1,hadley/dplyr
2013-10-12,1,hadley/dplyr
2013-10-13,2,hadley/dplyr
2013-10-15,1,hadley/dplyr
2013-10-16,1,hadley/dplyr
2013-10-18,2,hadley/dplyr
2013-10-22,1,hadley/dplyr
2013-10-23,2,hadley/dplyr
2013-10-24,1,hadley/dplyr
2013-10-26,1,hadley/dplyr
2013-10-30,2,hadley/dplyr
2013-11-02,1,hadley/dplyr
2013-11-06,1,hadley/dplyr
2013-11-07,1,hadley/dplyr
2013-11-10,1,hadley/dplyr
2013-11-11,1,hadley/dplyr
2013-11-12,1,hadley/dplyr
2013-11-13,1,hadley/dplyr
2013-11-14,1,hadley/dplyr
2013-11-15,1,hadley/dplyr
2013-11-19,1,hadley/dplyr
2013-11-30,1,hadley/dplyr
2013-12-01,1,hadley/dplyr
2013-12-04,1,hadley/dplyr
2013-12-09,1,hadley/dplyr
2013-12-11,1,hadley/dplyr
2013-12-12,2,hadley/dplyr
2013-12-15,1,hadley/dplyr
2013-12-16,1,hadley/dplyr
2013-12-17,4,hadley/dplyr
2013-12-19,2,hadley/dplyr
2013-12-20,2,hadley/dplyr
2014-01-02,1,hadley/dplyr
2014-01-03,1,hadley/dplyr
2014-01-07,1,hadley/dplyr
2014-01-08,1,hadley/dplyr
2014-01-09,1,hadley/dplyr
2014-01-11,1,hadley/dplyr
2014-01-17,7,hadley/dplyr
2014-01-18,7,hadley/dplyr
2014-01-19,4,hadley/dplyr
2014-01-20,7,hadley/dplyr
2014-01-21,4,hadley/dplyr
2014-01-23,5,hadley/dplyr
2014-01-24,3,hadley/dplyr
2014-01-26,1,hadley/dplyr
2014-01-28,4,hadley/dplyr
2014-01-29,6,hadley/dplyr
2014-01-30,3,hadley/dplyr
2014-01-31,1,hadley/dplyr
2014-02-01,1,hadley/dplyr
2014-02-02,1,hadley/dplyr
2014-02-03,2,hadley/dplyr
2014-02-04,6,hadley/dplyr
2014-02-05,1,hadley/dplyr
2014-02-06,1,hadley/dplyr
2014-02-07,2,hadley/dplyr
2014-02-09,1,hadley/dplyr
2014-02-10,1,hadley/dplyr
2014-02-11,4,hadley/dplyr
2014-02-12,2,hadley/dplyr
2014-02-13,1,hadley/dplyr
2014-02-16,1,hadley/dplyr
2014-02-17,1,hadley/dplyr
2014-02-19,2,hadley/dplyr
2014-02-21,2,hadley/dplyr
2014-02-23,3,hadley/dplyr
2014-02-24,3,hadley/dplyr
2014-02-25,6,hadley/dplyr
2014-02-26,4,hadley/dplyr
2014-02-27,2,hadley/dplyr
2014-03-01,2,hadley/dplyr
2014-03-03,1,hadley/dplyr
2014-03-05,1,hadley/dplyr
2014-03-06,1,hadley/dplyr
2014-03-12,1,hadley/dplyr
2014-03-13,1,hadley/dplyr
2014-03-14,3,hadley/dplyr
2014-03-15,1,hadley/dplyr
2014-03-16,1,hadley/dplyr
2014-03-17,2,hadley/dplyr
2014-03-18,3,hadley/dplyr
2014-03-19,1,hadley/dplyr
2014-03-21,1,hadley/dplyr
2014-03-22,1,hadley/dplyr
2014-03-24,1,hadley/dplyr
2014-03-26,1,hadley/dplyr
2014-03-27,1,hadley/dplyr
2014-03-31,1,hadley/dplyr
2014-04-01,1,hadley/dplyr
2014-04-02,1,hadley/dplyr
2014-04-03,1,hadley/dplyr
2014-04-04,2,hadley/dplyr
2014-04-07,1,hadley/dplyr
2014-04-09,2,hadley/dplyr
2014-04-11,2,hadley/dplyr
2014-04-13,1,hadley/dplyr
2014-04-15,2,hadley/dplyr
2014-04-16,1,hadley/dplyr
2014-04-17,3,hadley/dplyr
2014-04-18,1,hadley/dplyr
2014-04-19,2,hadley/dplyr
2014-04-21,1,hadley/dplyr
2014-04-24,3,hadley/dplyr
2014-04-25,1,hadley/dplyr
2014-04-26,1,hadley/dplyr
2014-04-28,1,hadley/dplyr
2014-05-03,1,hadley/dplyr
2014-05-05,1,hadley/dplyr
2014-05-06,1,hadley/dplyr
2014-05-07,1,hadley/dplyr
2014-05-11,1,hadley/dplyr
2014-05-12,2,hadley/dplyr
2014-05-14,2,hadley/dplyr
2014-05-15,3,hadley/dplyr
2014-05-16,4,hadley/dplyr
2014-05-18,4,hadley/dplyr
2014-05-20,2,hadley/dplyr
2014-05-21,2,hadley/dplyr
2014-05-22,6,hadley/dplyr
2014-05-23,1,hadley/dplyr
2014-05-25,2,hadley/dplyr
2014-05-26,3,hadley/dplyr
2014-05-28,1,hadley/dplyr
2014-06-02,1,hadley/dplyr
2014-06-03,2,hadley/dplyr
2014-06-05,1,hadley/dplyr
2014-06-06,4,hadley/dplyr
2014-06-09,2,hadley/dplyr
2014-06-10,1,hadley/dplyr
2014-06-11,4,hadley/dplyr
2014-06-13,1,hadley/dplyr
2014-06-17,2,hadley/dplyr
2014-06-18,2,hadley/dplyr
2014-06-19,2,hadley/dplyr
2014-06-21,1,hadley/dplyr
2014-06-23,1,hadley/dplyr
2014-06-25,2,hadley/dplyr
2014-06-27,1,hadley/dplyr
2014-06-30,2,hadley/dplyr
2014-07-01,1,hadley/dplyr
2014-07-03,3,hadley/dplyr
2014-07-04,1,hadley/dplyr
2014-07-05,1,hadley/dplyr
2014-07-07,1,hadley/dplyr
2014-07-08,3,hadley/dplyr
2014-07-09,2,hadley/dplyr
2014-07-10,2,hadley/dplyr
2014-07-12,1,hadley/dplyr
2014-07-13,2,hadley/dplyr
2014-07-15,3,hadley/dplyr
2014-07-16,1,hadley/dplyr
2014-07-18,2,hadley/dplyr
2014-07-19,1,hadley/dplyr
2014-07-21,2,hadley/dplyr
2014-07-22,1,hadley/dplyr
2014-07-24,1,hadley/dplyr
2014-07-29,1,hadley/dplyr
2014-07-30,2,hadley/dplyr
2014-07-31,1,hadley/dplyr
2014-08-01,2,hadley/dplyr
2014-08-02,1,hadley/dplyr
2014-08-03,1,hadley/dplyr
2014-08-04,3,hadley/dplyr
2014-08-05,1,hadley/dplyr
2014-08-06,3,hadley/dplyr
2014-08-07,2,hadley/dplyr
2014-08-08,1,hadley/dplyr
2014-08-11,2,hadley/dplyr
2014-08-12,1,hadley/dplyr
2014-08-14,2,hadley/dplyr
2014-08-17,1,hadley/dplyr
2014-08-19,1,hadley/dplyr
2014-08-20,2,hadley/dplyr
2014-08-21,1,hadley/dplyr
2014-08-22,2,hadley/dplyr
2014-08-24,2,hadley/dplyr
2014-08-25,1,hadley/dplyr
2014-08-26,2,hadley/dplyr
2014-08-28,1,hadley/dplyr
2014-09-03,4,hadley/dplyr
2014-09-04,1,hadley/dplyr
2014-09-05,1,hadley/dplyr
2014-09-07,1,hadley/dplyr
2014-09-09,1,hadley/dplyr
2014-09-10,2,hadley/dplyr
2014-09-11,2,hadley/dplyr
2014-09-12,1,hadley/dplyr
2014-09-14,2,hadley/dplyr
2014-09-15,2,hadley/dplyr
2014-09-16,3,hadley/dplyr
2014-09-18,1,hadley/dplyr
2014-09-21,1,hadley/dplyr
2014-09-22,1,hadley/dplyr
2014-09-23,1,hadley/dplyr
2014-09-24,3,hadley/dplyr
2014-09-25,4,hadley/dplyr
2014-09-26,4,hadley/dplyr
2014-09-28,2,hadley/dplyr
2014-09-29,3,hadley/dplyr
2014-09-30,2,hadley/dplyr
2014-10-01,4,hadley/dplyr
2014-10-03,1,hadley/dplyr
2014-10-04,2,hadley/dplyr
2014-10-05,3,hadley/dplyr
2014-10-07,2,hadley/dplyr
2014-10-08,1,hadley/dplyr
2014-10-09,2,hadley/dplyr
2014-10-11,2,hadley/dplyr
2014-10-13,3,hadley/dplyr
2014-10-14,5,hadley/dplyr
2014-10-15,3,hadley/dplyr
2014-10-16,2,hadley/dplyr
2014-10-17,1,hadley/dplyr
2014-10-19,2,hadley/dplyr
2014-10-21,1,hadley/dplyr
2014-10-22,2,hadley/dplyr
2014-10-23,1,hadley/dplyr
2014-10-27,3,hadley/dplyr
2014-10-28,2,hadley/dplyr
2014-10-29,2,hadley/dplyr
2014-10-31,1,hadley/dplyr
2014-11-02,1,hadley/dplyr
2014-11-04,3,hadley/dplyr
2014-11-05,1,hadley/dplyr
2014-11-06,1,hadley/dplyr
2014-11-07,1,hadley/dplyr
2014-11-09,1,hadley/dplyr
2014-11-11,2,hadley/dplyr
2014-11-12,4,hadley/dplyr
2014-11-14,1,hadley/dplyr
2014-11-15,2,hadley/dplyr
